year,qr,roe,wcoa,reoa,eoa,edr,dd,sr,vol,return
1985,0.475406296,0.122492437,0.588866292,0.563860564,0.140925756,3.656593516,4.828697677,1.992761498,0.219184087,0.437
,,,,,,,,,,
1985,1.022125499,0.105549362,0.273671987,-0.08368604,0.078565839,1.283290004,2.667501212,1.03007834,0.420679978,0.433
,,,,,,,,,,
1985,0.125162673,0.066144283,0.46885531,0.266958365,0.162789434,4.296060891,2.263532975,1.063059668,0.40678096,0.432
,,,,,,,,,,
1985,0.387462464,0.088069444,0.567651578,0.455912018,0.149161668,4.475031372,5.382916022,2.294471713,0.187429556,0.43
,,,,,,,,,,
1985,0.569325283,0.029479633,0.480634603,0.284003091,0.068847168,4.133534479,1.837251365,0.82164982,0.52159864,0.429
,,,,,,,,,,
1985,0.080949274,0.039380481,0.468803407,0.277568293,0.096248271,5.540678515,2.338085594,1.113973673,0.381775051,0.425
,,,,,,,,,,
1985,0.116538848,-0.037985904,0.247553783,0.060511923,0.071438409,0.801061221,1.944138291,1.293032217,0.325631973,0.421
,,,,,,,,,,
1985,0.06613125,0.169181217,0.546584358,-0.013325356,0.030471554,2.133518189,3.632226397,1.325347831,0.314382879,0.417
,,,,,,,,,,
1985,1.193232776,0.015309627,0.490849962,-0.248256287,0.028541271,2.528854774,2.541639398,1.016037014,0.410090047,0.417
,,,,,,,,,,
1985,0.012763908,0.109232814,0.233695038,0.19211673,0.035356718,0.854637673,2.874484061,1.938685173,0.214594169,0.416
,,,,,,,,,,
1985,0.214380529,0.104448929,0.363151343,0.330012682,0.080216227,1.490451304,3.098106916,1.105034748,0.372985703,0.412
,,,,,,,,,,
1985,0.210342109,0.084545293,0.545321025,0.498252808,0.103288861,4.078756938,3.001004048,1.203871392,0.330963509,0.398
,,,,,,,,,,
1985,1.273515762,0.065219208,0.607793356,0.246679184,0.081086118,5.596392565,4.363111409,1.707950432,0.231841128,0.396
,,,,,,,,,,
1985,0.001002945,0.082540428,0.439176283,0.18420517,0.053887645,1.308625948,3.355805307,1.061774632,0.371770836,0.395
,,,,,,,,,,
1985,0.055181297,0.106378834,0.358772446,0.185279792,0.059920428,1.286755993,3.837341374,1.213534371,0.325079719,0.394
,,,,,,,,,,
1985,0.200735481,0.058156522,0.271979251,0.069940077,0.057061086,0.888332715,1.317753534,0.43039059,0.91452174,0.394
,,,,,,,,,,
1985,0.932667841,0.09673885,0.62368156,0.555149202,0.127524249,5.044213264,3.314110519,1.279392134,0.305851769,0.391
,,,,,,,,,,
1985,0.483978796,0.087578841,0.468590026,0.400100762,0.139601816,8.201478618,2.709507851,1.067335937,0.363742361,0.388
,,,,,,,,,,
1985,0.111392561,-0.157678874,0.177478996,0.12676555,-0.027217336,0.883288184,1.234577779,0.766986759,0.503742251,0.386
,,,,,,,,,,
1985,1.705980839,-0.25382173,0.18225945,0.003812285,0.023013316,5.924867454,1.659320491,0.560949684,0.668509157,0.375
,,,,,,,,,,
1985,5.024813234,0.238763045,0.873802727,-0.339211867,0.05199968,19.11085912,2.426374657,0.90033225,0.413790597,0.373
,,,,,,,,,,
1985,2.023019035,-0.029304029,0.841245397,0.600803482,-0.075058587,10.33266932,1.474845405,0.532436051,0.691953619,0.368
,,,,,,,,,,
1985,0.011403101,0.103515783,0.454020204,0.346478527,0.085872654,2.18446206,5.608519852,1.841890202,0.196670191,0.362
,,,,,,,,,,
1985,0.706648233,0.066812941,0.523355903,0.411912078,0.11134064,4.344073997,3.568047702,1.302274248,0.277853997,0.362
,,,,,,,,,,
1985,0.163181963,0.115710589,0.056927143,0.042799239,0.018586645,0.092073094,2.219215679,1.506296854,0.238130785,0.359
,,,,,,,,,,
1985,0.119224029,0.069807956,0.383192393,0.172060403,0.093938524,2.875204713,3.74847331,1.285909666,0.275836526,0.355
,,,,,,,,,,
1985,0.047467609,0.065317476,0.499791519,0.33577951,0.149751908,4.722348039,3.371801349,1.26585363,0.279784849,0.354
,,,,,,,,,,
1985,0.071847949,0.066256628,0.429817475,0.193025984,0.102619583,2.068526805,3.019008607,0.989239272,0.356780393,0.353
,,,,,,,,,,
1985,1.077492437,0.079290796,0.682059591,0.603701255,0.171929563,10.24260521,3.098679191,1.100413234,0.316439565,0.348
,,,,,,,,,,
1985,0.253846787,0.113207547,0.302148496,0.259106579,0.07505783,0.898729255,1.604948993,0.820236047,0.421164794,0.345
,,,,,,,,,,
1985,0.030060702,0.014823433,0.147249934,0.032209898,0.020953662,0.89678292,1.165022925,0.686074838,0.493886317,0.339
,,,,,,,,,,
1985,1.231839258,0.008587258,0.817592332,-0.260783761,0.054412179,66.95517774,2.419905834,0.887600702,0.381651864,0.339
,,,,,,,,,,
1985,6.078175896,-0.020090121,0.916882444,-0.606421543,-0.155100984,120.6401869,3.437909901,1.196612537,0.281299912,0.337
,,,,,,,,,,
1985,0.030295974,0.06499662,0.367062562,0.188651925,0.117947756,2.926265458,2.833645145,0.932182984,0.35322281,0.329
,,,,,,,,,,
1985,0.098534757,0.121874017,0.283308267,0.102833193,0.090314947,1.48000291,8.110626499,1.887496453,0.170340671,0.322
,,,,,,,,,,
1985,0.01260126,0.069786488,0.651486898,1.233487094,0.239964668,11.55096803,2.884797625,1.018011397,0.315741624,0.321
,,,,,,,,,,
1985,5.944152381,0.087870022,0.83869945,0.476720407,0.170637751,38.57299048,2.057129466,0.677442223,0.473822923,0.321
,,,,,,,,,,
1985,0.017415188,0.07022474,0.595926998,0.494729175,0.088602473,4.038361705,2.742211061,0.82085571,0.382193224,0.314
,,,,,,,,,,
1985,0.282560095,-0.024380936,0.679957982,0.497486864,-0.024082845,6.056516793,4.81394706,1.445247721,0.216979308,0.314
,,,,,,,,,,
1985,4.21659919,-0.063571429,0.834657702,-0.556845966,-0.368276284,77.63401109,2.097301666,0.699468987,0.443514084,0.31
,,,,,,,,,,
1985,0.974239143,0.115952052,0.537483122,0.243073184,0.221009992,4.754551544,1.861254039,0.605956329,0.510087765,0.309
,,,,,,,,,,
1985,0.997731397,0.076754519,0.640075705,0.30496518,0.013680772,2.143118707,3.670565436,0.933601668,0.328639282,0.307
,,,,,,,,,,
1985,1.008880294,0.047282834,0.634145276,0.554556065,0.28584075,28.04548559,3.396952835,1.141920893,0.267580318,0.306
,,,,,,,,,,
1985,0.265816318,0.061699382,0.226323241,0.114285052,0.085617941,1.598390654,2.633282259,0.762374986,0.398651024,0.304
,,,,,,,,,,
1985,0.462051246,0.23304119,0.391823785,0.352555888,0.086373218,1.445485576,5.691836743,1.311247035,0.228576218,0.3
,,,,,,,,,,
1985,0.053946967,0.055480116,0.485346091,0.135591759,0.046935609,1.401831037,3.16150052,0.736563824,0.405533491,0.299
,,,,,,,,,,
1985,0.198608652,-0.061033389,0.532639538,0.472279314,-0.034518869,2.482088084,2.400789423,0.627218352,0.473993301,0.297
,,,,,,,,,,
1985,2.46264812,0.105712509,0.82792253,0.73784311,0.258603873,16.59445209,2.752835815,0.830656364,0.357634207,0.297
,,,,,,,,,,
1985,0.023730388,0.036022608,0.220026626,0.189156333,0.000318766,1.757136176,4.555402195,1.342930412,0.220113776,0.296
,,,,,,,,,,
1985,0.847383721,0.537391234,0.596345025,0.034325679,0.045981939,3.260178793,1.985036003,0.557954544,0.5271355,0.294
,,,,,,,,,,
1985,0.167802548,0.051500563,0.551272297,0.480163997,0.218103093,12.37675332,4.06863258,1.29204585,0.221423442,0.286
,,,,,,,,,,
1985,22.18624161,0.027613366,0.960133779,-0.022474916,0.076655518,213.0327181,2.325837757,0.674595724,0.42353409,0.286
,,,,,,,,,,
1985,0.040659049,0.067334001,0.515708358,0.306362379,0.103141672,2.721562435,1.251862497,0.347012378,0.823041199,0.286
,,,,,,,,,,
1985,0.038369254,0.068060718,0.527933322,0.435680525,0.148074893,3.739981121,3.81974177,1.097520262,0.257346272,0.282
,,,,,,,,,,
1985,0.451140746,0.060857033,0.538173292,0.240302288,0.207624191,7.454376502,2.506651043,0.801114401,0.351073454,0.281
,,,,,,,,,,
1985,1.0171076,0.060413578,0.457953286,0.324947924,0.084997562,2.788199298,4.003308495,1.080856071,0.253974429,0.275
,,,,,,,,,,
1985,0.390357698,-0.076739146,0.658808401,-0.488641234,-0.501500214,37.29268844,1.005182324,0.318045254,0.84918733,0.27
,,,,,,,,,,
1985,0.057207165,0.051272771,0.572883999,0.413029542,0.137815126,7.150298241,2.854911794,0.820497337,0.327737277,0.269
,,,,,,,,,,
1985,1.931464174,-0.125567947,0.676713661,-2.561497326,-0.514827419,23.66390977,1.488881573,0.452793745,0.588936286,0.267
,,,,,,,,,,
1985,0.21068475,0.013801156,0.538087973,0.425232659,0.01391912,2.319768108,4.797073304,1.066261092,0.246071286,0.262
,,,,,,,,,,
1985,0.07637896,0.38396715,0.147999305,-0.528937511,0.110739004,0.779989809,0.743218335,0.337775542,0.772316324,0.261
,,,,,,,,,,
1985,0.067673716,0.106126955,0.721540827,0.58677469,0.072765463,4.104984894,3.53852631,0.828627138,0.311115022,0.258
,,,,,,,,,,
1985,0.925333333,0.207147696,0.799847503,0.609702631,0.117136866,7.872,2.9770455,0.711019476,0.354542766,0.252
,,,,,,,,,,
1985,0.023076923,0.137394173,0.799726121,0.313077713,0.138651147,19.43376068,2.185799608,0.575106756,0.434701901,0.25
,,,,,,,,,,
1985,0.25294075,0.040626205,0.621342613,0.512035965,0.089043697,11.43213004,1.879111253,0.494605795,0.499054895,0.247
,,,,,,,,,,
1985,0.538723985,0.053771471,0.742886511,0.355744522,0.179600991,19.70067535,2.321029966,0.596474205,0.410575943,0.245
,,,,,,,,,,
1985,0.029786101,-0.406862049,0.581480177,0.434101644,-0.137204994,3.190464462,2.581398549,0.542878848,0.449798417,0.244
,,,,,,,,,,
1985,1.858249419,-0.100877838,0.853359309,0.041069924,0.10899326,10.37926391,2.247943575,0.531866812,0.45512243,0.242
,,,,,,,,,,
1985,0.103627263,0.088807604,0.567686766,0.417396592,0.124320746,3.315134379,4.901609301,1.11732834,0.215851028,0.241
,,,,,,,,,,
1985,0.046664476,-0.033860275,0.230126615,-0.176608798,-0.097115259,5.470522596,1.691149144,0.524013835,0.458003174,0.24
,,,,,,,,,,
1985,0.077605775,0.112806537,0.043272879,0.031735252,0.01735011,0.096160626,1.182936295,0.527381607,0.440967482,0.233
,,,,,,,,,,
1985,0.07136322,0.078044867,0.640256959,0.487223412,0.20799429,11.64986649,2.208890327,0.519556449,0.441861485,0.23
,,,,,,,,,,
1985,0.182641343,0.08719501,0.769799843,0.707770801,0.171271586,11.28805136,5.814093895,1.342126544,0.170680545,0.229
,,,,,,,,,,
1985,0.045073445,0.112679,0.403463213,0.129272543,0.110951656,1.838120632,5.182269892,1.006191277,0.22463661,0.226
,,,,,,,,,,
1985,0.162011562,0.030218427,0.373249764,0.21132753,0.065726888,0.872559262,2.959534884,0.955831133,0.235992133,0.226
,,,,,,,,,,
1985,0.061698289,0.092316249,0.326704093,0.388235066,0.046527102,1.139454613,4.938025425,0.891514713,0.25194804,0.225
,,,,,,,,,,
1985,0.648979083,0.121272195,0.532782626,0.264859103,0.150969289,3.994828911,2.389488638,0.518865927,0.422417567,0.219
,,,,,,,,,,
1985,0.047484054,-0.17574124,0.275225225,-1.683783784,-1.043243243,16.14045991,1.095694278,0.350060333,0.621010963,0.217
,,,,,,,,,,
1985,0.377008032,-0.034766267,0.504389773,-0.208876025,0.082489146,1.65738758,0.58743618,0.119876705,1.809926385,0.217
,,,,,,,,,,
1985,0.033280726,0.116452816,0.369617443,0.194202827,0.0871792,0.954312451,2.254635015,0.679796674,0.318722752,0.217
,,,,,,,,,,
1985,1.703950954,0.056718813,0.571659768,0.291898789,0.145093523,9.563632876,2.240384008,0.5196025,0.416118507,0.216
,,,,,,,,,,
1985,0.369219317,0.057973289,0.483748079,0.453658215,0.051994833,2.398224444,3.840764566,0.744095336,0.287981531,0.214
,,,,,,,,,,
1985,0.028526149,-0.037574099,0.56334486,-1.386513675,-0.464319396,58.6479794,1.759844445,0.461858963,0.463963529,0.214
,,,,,,,,,,
1985,0.44243206,0.050551996,0.670400291,0.473412809,0.191534288,13.50959911,3.275231542,0.735316947,0.284480963,0.209
,,,,,,,,,,
1985,0.040567333,0.113818837,0.426124332,0.159398003,0.140238984,2.242548403,3.970851859,0.726997922,0.286566615,0.208
,,,,,,,,,,
1985,0.135428779,0.138970445,0.377488561,0.098146108,0.099167547,1.613147826,7.661783664,1.237206575,0.166553113,0.206
,,,,,,,,,,
1985,0.20087964,0.209961525,0.363887718,0.122998824,0.063821383,1.085497228,9.163060841,1.282035541,0.159031079,0.204
,,,,,,,,,,
1985,0.110009297,0.026328318,0.437643331,0.4161483,0.156792328,3.58407801,4.598625542,0.87156819,0.231544968,0.202
,,,,,,,,,,
1985,0.298641707,0.093673907,0.467789475,0.21706478,0.103416941,2.777659119,4.117322162,0.751043532,0.267919906,0.201
,,,,,,,,,,
1985,0.182747652,0.058936962,0.664966659,0.462540629,0.146500017,7.9759993,3.439523737,0.717757174,0.279533176,0.201
,,,,,,,,,,
1985,0.823359399,0.105147432,0.580205039,0.539985599,0.090292602,6.020196589,3.969588642,0.7785406,0.251501586,0.196
,,,,,,,,,,
1985,0.320656034,0.082992642,0.509941816,0.381410012,0.084967721,3.082089086,4.526552506,0.844647783,0.231533806,0.196
,,,,,,,,,,
